read_id	ssu_model	ssu_strand	ssu_start	ssu_end	ssu_score	ssu_evalue	s58s_model	s58s_strand	s58s_start	s58s_end	s58s_score	s58s_evalue	s58e_model	s58e_strand	s58e_start	s58e_end	s58e_score	s58e_evalue	lsu_model	lsu_strand	lsu_start	lsu_end	lsu_score	lsu_evalue	full_start	full_end	its1_start	its1_end	its2_start	its2_end	selected_region	selected_start	selected_end
SRR21494940.765	1_SSU_Fungi_Ge_1_SSU_end_onea_long	+	1	30	37.1	0.0000000018	2_5.8_Fungi_Ge_58S_start_zero_long	+	428	473	47	0.0000000000017	3_End_Fungi_Ge_58S_end_fourteenb_long	+	542	584	45.4	0.0000000000048	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	815	859	60	0.00000000000000013	31	814	31	427	585	814	full	31	814
SRR21494940.447	1_SSU_Fungi_Ge_1_SSU_end_onea_long	+	1	32	32.9	0.000000038	2_5.8_Fungi_Ge_58S_start_onee_long	+	425	469	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	+	535	580	48.2	0.00000000000061	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	813	858	54.1	0.0000000000000084	33	812	33	424	581	812	full	33	812
SRR21494940.931	1_SSU_Fungi_Ge_1_SSU_end_onea_long	+	1	30	37.1	0.0000000018	2_5.8_Fungi_Ge_58S_start_onee_long	+	425	469	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	+	538	582	55.6	0.000000000000003	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	815	859	53.6	0.000000000000012	31	814	31	424	583	814	full	31	814
SRR21494940.41	1_SSU_Fungi_Ge_1_SSU_end_onea_long	-	1	31	35.5	0.0000000059	2_5.8_Fungi_Ge_58S_start_onee_long	-	432	476	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	-	545	587	47.6	0.00000000000096	4_LSU_Fungi_Ge_4_LSU_start_eight_long	-	816	860	43.1	0.000000000024	32	815	32	431	588	815	full	32	815
SRR21494940.768	1_SSU_Fungi_Tu_1_SSU_end_five_long	+	70	101	39.2	0.00000000041	2_5.8_Fungi_Ge_58S_start_onee_long	+	491	535	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	+	604	646	38.8	0.00000000053	4_LSU_Fungi_Ge_4_LSU_start_fortyfive_long	+	876	921	46.7	0.0000000000017	102	875	102	490	647	875	full	102	875
SRR21494940.209	1_SSU_Fungi_Tu_1_SSU_end_five_long	-	1	31	38.8	0.00000000052	2_5.8_Fungi_Ge_58S_start_onee_long	-	422	466	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	-	535	578	49.5	0.00000000000025	4_LSU_Fungi_Ge_4_LSU_start_eight_long	-	807	852	52.5	0.000000000000028	32	806	32	421	579	806	full	32	806
SRR21494940.201	1_SSU_Fungi_Ge_1_SSU_end_onea_long	+	1	30	37.1	0.0000000018	2_5.8_Fungi_Ge_58S_start_onee_long	+	431	475	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	+	544	587	41.1	0.0000000001	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	821	865	60	0.00000000000000013	31	820	31	430	588	820	full	31	820
SRR21494940.290	1_SSU_Fungi_Tu_1_SSU_end_five_long	-	1	31	27.5	0.0000018	2_5.8_Fungi_Ge_58S_start_zero_long	-	435	480	51.8	0.000000000000052	3_End_Fungi_Ge_58S_end_fourteenb_long	-	549	591	47.6	0.00000000000096	4_LSU_Fungi_Ge_4_LSU_start_eight_long	-	818	863	54.2	0.0000000000000081	32	817	32	434	592	817	full	32	817
SRR21494940.675	1_SSU_Fungi_Ge_1_SSU_end_onea_long	+	1	30	37.1	0.0000000018	2_5.8_Fungi_Ge_58S_start_onee_long	+	423	467	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	+	537	581	53.4	0.000000000000014	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	818	863	56.9	0.0000000000000012	31	817	31	422	582	817	full	31	817
SRR21494940.446	1_SSU_Fungi_Ge_1_SSU_end_onea_long	+	1	30	37.1	0.0000000018	2_5.8_Fungi_Ge_58S_start_onee_long	+	428	472	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	+	541	586	48.8	0.00000000000041	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	812	857	53.3	0.000000000000015	31	811	31	427	587	811	full	31	811
SRR21494940.442	1_SSU_Fungi_Ge_1_SSU_end_onea_long	+	1	30	37.1	0.0000000018	2_5.8_Fungi_Ge_58S_start_onee_long	+	440	484	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	+	553	595	37.2	0.0000000017	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	824	868	60	0.00000000000000013	31	823	31	439	596	823	full	31	823
SRR21494940.856	1_SSU_Fungi_Ge_1_SSU_end_onea_long	+	1	30	37.1	0.0000000018	2_5.8_Fungi_Ge_58S_start_zero_long	+	430	476	51.6	0.000000000000063	3_End_Fungi_Ge_58S_end_fourteenb_long	+	546	590	55.6	0.000000000000003	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	822	866	60	0.00000000000000013	31	821	31	429	591	821	full	31	821
SRR21494940.197	1_SSU_Fungi_Ge_1_SSU_end_seven_long	+	1	34	27.5	0.0000019	2_5.8_Fungi_Ge_58S_start_onee_long	+	426	470	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	+	537	581	55.6	0.000000000000003	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	809	856	54.7	0.0000000000000058	35	808	35	425	582	808	full	35	808
SRR21494940.270	1_SSU_Fungi_Ge_1_SSU_end_onea_long	+	1	30	37.1	0.0000000018	2_5.8_Fungi_Ge_58S_start_onee_long	+	417	461	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	+	530	574	55.6	0.000000000000003	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	807	851	60	0.00000000000000013	31	806	31	416	575	806	full	31	806
SRR21494940.998	1_SSU_Fungi_Tu_1_SSU_end_five_long	-	1	31	38.8	0.00000000052	2_5.8_Fungi_Ge_58S_start_onee_long	-	428	472	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	-	548	587	41.3	0.000000000088	4_LSU_Fungi_Ge_4_LSU_start_eight_long	-	821	865	60	0.00000000000000013	32	820	32	427	588	820	full	32	820
SRR21494940.635	1_SSU_Fungi_Ge_1_SSU_end_seven_long	-	1	32	30.6	0.00000019	2_5.8_Fungi_Ge_58S_start_onee_long	-	450	494	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	-	564	606	39.2	0.0000000004	4_LSU_Fungi_Ge_4_LSU_start_eight_long	-	833	877	55.7	0.0000000000000027	33	832	33	449	607	832	full	33	832
SRR21494940.414	1_SSU_Fungi_Ge_1_SSU_end_onea_long	+	1	30	37.1	0.0000000018	2_5.8_Fungi_Ge_58S_start_zero_long	+	428	471	41	0.00000000013	3_End_Fungi_Ge_58S_end_fourteenb_long	+	540	583	46.7	0.0000000000019	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	812	856	60	0.00000000000000013	31	811	31	427	584	811	full	31	811
SRR21494940.176	1_SSU_Fungi_Tu_1_SSU_end_five_long	-	1	31	38.8	0.00000000052	2_5.8_Fungi_Ge_58S_start_zero_long	-	403	448	52.2	0.000000000000041	3_End_Fungi_Ge_58S_end_fourteenb_long	-	517	561	55.6	0.000000000000003	4_LSU_Fungi_Ge_4_LSU_start_eight_long	-	790	834	60	0.00000000000000013	32	789	32	402	562	789	full	32	789
SRR21494940.431	1_SSU_Fungi_Tu_1_SSU_end_five_long	-	1	31	38.8	0.00000000052	2_5.8_Fungi_Ge_58S_start_onee_long	-	424	468	44.3	0.000000000011	3_End_Fungi_Ge_58S_end_fourteenb_long	-	540	584	55.6	0.000000000000003	4_LSU_Fungi_Ge_4_LSU_start_eight_long	-	814	858	56.9	0.0000000000000012	32	813	32	423	585	813	full	32	813
SRR21494940.69	1_SSU_Fungi_Tu_1_SSU_end_five_long	+	1	31	38.8	0.00000000052	2_5.8_Fungi_Ge_58S_start_onee_long	+	434	478	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	+	547	590	48.7	0.00000000000044	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	821	867	53.9	0.00000000000001	32	820	32	433	591	820	full	32	820
SRR21494940.574	1_SSU_Fungi_Ge_1_SSU_end_onea_long	+	1	27	31.1	0.00000014	2_5.8_Fungi_Ge_58S_start_onee_long	+	424	468	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	+	537	582	47.9	0.00000000000076	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	811	856	54.3	0.0000000000000077	28	810	28	423	583	810	full	28	810
SRR21494940.407	1_SSU_Fungi_Ge_1_SSU_end_onea_long	+	1	30	37.1	0.0000000018	2_5.8_Fungi_Ge_58S_start_onee_long	+	426	470	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	+	539	584	34.8	0.0000000097	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	823	867	60	0.00000000000000013	31	822	31	425	585	822	full	31	822
SRR21494940.478	1_SSU_Fungi_Tu_1_SSU_end_five_long	+	1	31	27.3	0.0000021	2_5.8_Fungi_Ge_58S_start_onee_long	+	430	474	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	+	543	587	49.6	0.00000000000023	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	819	863	60	0.00000000000000013	32	818	32	429	588	818	full	32	818
SRR21494940.60	1_SSU_Fungi_Ge_1_SSU_end_onea_long	+	1	30	37.1	0.0000000018	2_5.8_Fungi_Ge_58S_start_onee_long	+	416	469	59.1	0.00000000000000027	3_End_Fungi_Ge_58S_end_fourteenb_long	+	538	581	47.7	0.00000000000087	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	819	863	60	0.00000000000000013	31	818	31	415	582	818	full	31	818
SRR21494940.745	1_SSU_Fungi_Tu_1_SSU_end_five_long	-	1	31	38.8	0.00000000052	2_5.8_Fungi_Ge_58S_start_onee_long	-	436	480	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	-	549	596	32.5	0.000000049	4_LSU_Fungi_Ge_4_LSU_start_eight_long	-	827	871	60	0.00000000000000013	32	826	32	435	597	826	full	32	826
SRR21494940.620	1_SSU_Fungi_Ge_1_SSU_end_onea_long	+	1	30	37.1	0.0000000018	2_5.8_Fungi_Ge_58S_start_onee_long	+	430	474	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	+	541	585	55.6	0.000000000000003	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	822	866	60	0.00000000000000013	31	821	31	429	586	821	full	31	821
SRR21494940.816	1_SSU_Fungi_Tu_1_SSU_end_five_long	-	1	31	38.8	0.00000000052	2_5.8_Fungi_Ge_58S_start_onee_long	-	433	477	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	-	551	593	47.6	0.00000000000096	4_LSU_Fungi_Ge_4_LSU_start_eight_long	-	827	871	60	0.00000000000000013	32	826	32	432	594	826	full	32	826
SRR21494940.544	1_SSU_Fungi_Tu_1_SSU_end_five_long	+	1	31	30.4	0.00000023	2_5.8_Fungi_Ge_58S_start_onee_long	+	433	477	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	+	546	590	55.6	0.000000000000003	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	826	869	52.3	0.000000000000033	32	825	32	432	591	825	full	32	825
SRR21494940.85	1_SSU_Fungi_Ge_1_SSU_end_onea_long	-	1	31	36.4	0.0000000029	2_5.8_Fungi_Ge_58S_start_zero_long	-	428	473	52.2	0.000000000000041	3_End_Fungi_Ge_58S_end_fourteenb_long	-	542	585	49.5	0.00000000000025	4_LSU_Fungi_Ge_4_LSU_start_eight_long	-	817	861	60	0.00000000000000013	32	816	32	427	586	816	full	32	816
SRR21494940.693	1_SSU_Fungi_Tu_1_SSU_end_five_long	-	1	32	39.2	0.00000000039	2_5.8_Fungi_Ge_58S_start_zero_long	-	443	489	52.9	0.000000000000025	3_End_Fungi_Ge_58S_end_fourteenb_long	-	558	600	27.8	0.0000015	4_LSU_Fungi_Ge_4_LSU_start_eight_long	-	828	872	60	0.00000000000000013	33	827	33	442	601	827	full	33	827
SRR21494940.536	1_SSU_Fungi_Ge_1_SSU_end_onea_long	+	1	30	37.1	0.0000000018	2_5.8_Fungi_Ge_58S_start_zero_long	+	430	474	55.4	0.0000000000000039	3_End_Fungi_Ge_58S_end_fourteenb_long	+	543	587	55.6	0.000000000000003	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	814	858	60	0.00000000000000013	31	813	31	429	588	813	full	31	813
SRR21494940.940	1_SSU_Fungi_Ge_1_SSU_end_onea_long	+	1	28	33.2	0.000000031	2_5.8_Fungi_Ge_58S_start_onee_long	+	430	474	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	+	543	586	46.7	0.0000000000019	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	816	860	56.3	0.0000000000000017	29	815	29	429	587	815	full	29	815
SRR21494940.153	1_SSU_Fungi_Tu_1_SSU_end_five_long	-	1	31	38.8	0.00000000052	2_5.8_Fungi_Ge_58S_start_zero_long	-	426	471	52.1	0.000000000000042	3_End_Fungi_Ge_58S_end_fourteenb_long	-	540	584	55.6	0.000000000000003	4_LSU_Fungi_Ge_4_LSU_start_eight_long	-	812	856	60	0.00000000000000013	32	811	32	425	585	811	full	32	811
SRR21494940.606	1_SSU_Fungi_Tu_1_SSU_end_five_long	-	1	31	38.8	0.00000000052	2_5.8_Fungi_Ge_58S_start_onee_long	-	438	482	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	-	551	595	55.6	0.000000000000003	4_LSU_Fungi_Ge_4_LSU_start_eight_long	-	826	870	60	0.00000000000000013	32	825	32	437	596	825	full	32	825
SRR21494940.277	1_SSU_Fungi_Ge_1_SSU_end_onea_long	-	1	30	31.2	0.00000013	2_5.8_Fungi_Ge_58S_start_onee_long	-	428	470	41.7	0.000000000072	3_End_Fungi_Ge_58S_end_fourteenb_long	-	539	583	55.6	0.000000000000003	4_LSU_Fungi_Ge_4_LSU_start_eight_long	-	816	860	60	0.00000000000000013	31	815	31	427	584	815	full	31	815
SRR21494940.417	1_SSU_Fungi_Tu_1_SSU_end_five_long	-	1	31	38.8	0.00000000052	2_5.8_Fungi_Ge_58S_start_onee_long	-	433	477	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	-	549	593	55.6	0.000000000000003	4_LSU_Fungi_Ge_4_LSU_start_eight_long	-	820	864	60	0.00000000000000013	32	819	32	432	594	819	full	32	819
SRR21494940.527	1_SSU_Fungi_Ge_1_SSU_end_onea_long	+	1	30	37.1	0.0000000018	2_5.8_Fungi_Ge_58S_start_zero_long	+	430	474	37.7	0.0000000013	3_End_Fungi_Ge_58S_end_fourteenb_long	+	531	574	49.5	0.00000000000025	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	803	848	56.7	0.0000000000000013	31	802	31	429	575	802	full	31	802
SRR21494940.993	1_SSU_Fungi_Ge_1_SSU_end_onea_long	+	1	30	37.1	0.0000000018	2_5.8_Fungi_Ge_58S_start_zero_long	+	426	474	51.1	0.000000000000088	3_End_Fungi_Ge_58S_end_fourteenb_long	+	543	585	32.9	0.000000039	4_LSU_Fungi_Ge_4_LSU_start_nine_long	+	813	860	48.9	0.00000000000036	31	812	31	425	586	812	full	31	812
SRR21494940.901	1_SSU_Fungi_Ge_1_SSU_end_onea_long	+	1	30	37.1	0.0000000018	2_5.8_Fungi_Ge_58S_start_onee_long	+	429	473	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	+	544	587	48.7	0.00000000000044	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	820	864	55.5	0.0000000000000032	31	819	31	428	588	819	full	31	819
SRR21494940.235	1_SSU_Fungi_Cr_1_SSU_end_long	+	1	31	31.8	0.000000082	2_5.8_Fungi_Ge_58S_start_zero_long	+	443	487	55.4	0.0000000000000039	3_End_Fungi_Ge_58S_end_fourteenb_long	+	557	601	55.6	0.000000000000003	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	842	886	60	0.00000000000000013	32	841	32	442	602	841	full	32	841
SRR21494940.529	1_SSU_Fungi_Ge_1_SSU_end_onea_long	-	1	30	37.1	0.0000000018	2_5.8_Fungi_Ge_58S_start_onee_long	-	432	476	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	-	545	589	55.6	0.000000000000003	4_LSU_Fungi_Ge_4_LSU_start_eight_long	-	821	865	60	0.00000000000000013	31	820	31	431	590	820	full	31	820
SRR21494940.21	1_SSU_Fungi_Ge_1_SSU_end_onea_long	+	1	30	37.1	0.0000000018	2_5.8_Fungi_Ge_58S_start_onee_long	+	426	470	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	+	539	583	55.6	0.000000000000003	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	814	858	60	0.00000000000000013	31	813	31	425	584	813	full	31	813
SRR21494940.157	1_SSU_Fungi_Ge_1_SSU_end_seven_long	+	1	31	29.6	0.00000042	2_5.8_Fungi_Ge_58S_start_onee_long	+	427	471	50.6	0.00000000000012	3_End_Fungi_Ge_58S_end_fourteenb_long	+	539	582	49.5	0.00000000000025	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	813	857	55.4	0.0000000000000033	32	812	32	426	583	812	full	32	812
SRR21494940.659	1_SSU_Fungi_Ge_1_SSU_end_onea_long	+	1	30	37.1	0.0000000018	2_5.8_Fungi_Ge_58S_start_onee_long	+	424	468	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	+	536	579	42.6	0.000000000036	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	809	852	52.3	0.000000000000033	31	808	31	423	580	808	full	31	808
SRR21494940.724	1_SSU_Fungi_Tu_1_SSU_end_five_long	-	1	31	38.8	0.00000000052	2_5.8_Fungi_Ge_58S_start_zero_long	-	432	477	52.5	0.000000000000032	3_End_Fungi_Ge_58S_end_fourteenb_long	-	546	584	38.7	0.00000000059	4_LSU_Fungi_Ge_4_LSU_start_eight_long	-	816	860	60	0.00000000000000013	32	815	32	431	585	815	full	32	815
SRR21494940.6	1_SSU_Fungi_Tu_1_SSU_end_five_long	+	1	31	29.8	0.00000035	2_5.8_Fungi_Ge_58S_start_onee_long	+	417	461	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	+	529	573	55.6	0.000000000000003	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	803	847	60	0.00000000000000013	32	802	32	416	574	802	full	32	802
SRR21494940.934	1_SSU_Fungi_Ge_1_SSU_end_onea_long	+	1	30	37.1	0.0000000018	2_5.8_Fungi_Ge_58S_start_onee_long	+	421	465	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	+	532	576	55.6	0.000000000000003	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	814	859	54.1	0.0000000000000084	31	813	31	420	577	813	full	31	813
SRR21494940.585	1_SSU_Fungi_Ge_1_SSU_end_seven_long	+	1	30	29.6	0.00000041	2_5.8_Fungi_Ge_58S_start_onee_long	+	429	472	45.9	0.0000000000035	3_End_Fungi_Ge_58S_end_fourteenb_long	+	534	575	42	0.000000000053	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	807	851	60	0.00000000000000013	31	806	31	428	576	806	full	31	806
SRR21494940.135	1_SSU_Fungi_Tu_1_SSU_end_five_long	-	1	31	38.8	0.00000000052	2_5.8_Fungi_Ge_58S_start_onee_long	-	432	476	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	-	547	590	39.7	0.00000000029	4_LSU_Fungi_Ge_4_LSU_start_eight_long	-	821	865	60	0.00000000000000013	32	820	32	431	591	820	full	32	820
SRR21494940.551	1_SSU_Fungi_Ge_1_SSU_end_onea_long	+	1	30	37.1	0.0000000018	2_5.8_Fungi_Ge_58S_start_onee_long	+	434	478	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	+	549	591	37.2	0.0000000017	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	816	860	60	0.00000000000000013	31	815	31	433	592	815	full	31	815
SRR21494940.630	1_SSU_Fungi_Tu_1_SSU_end_five_long	-	1	31	38.8	0.00000000052	2_5.8_Fungi_Ge_58S_start_onee_long	-	427	471	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	-	540	584	52.1	0.000000000000037	4_LSU_Fungi_Ge_4_LSU_start_eight_long	-	822	866	60	0.00000000000000013	32	821	32	426	585	821	full	32	821
SRR21494940.583	1_SSU_Fungi_Tu_1_SSU_end_five_long	-	1	31	38.8	0.00000000052	2_5.8_Fungi_Ge_58S_start_onee_long	-	458	502	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	-	571	614	49.5	0.00000000000025	4_LSU_Fungi_Ge_4_LSU_start_eight_long	-	844	887	54.5	0.0000000000000066	32	843	32	457	615	843	full	32	843
SRR21494940.448	1_SSU_Fungi_Tu_1_SSU_end_five_long	-	1	31	38.8	0.00000000052	2_5.8_Fungi_Ge_58S_start_zero_long	-	435	481	43.5	0.00000000002	3_End_Fungi_Ge_58S_end_fourteenb_long	-	551	595	55.6	0.000000000000003	4_LSU_Fungi_Ge_4_LSU_start_eight_long	-	824	868	60	0.00000000000000013	32	823	32	434	596	823	full	32	823
SRR21494940.511	1_SSU_Fungi_Ge_1_SSU_end_onea_long	+	1	30	37.1	0.0000000018	2_5.8_Fungi_Ge_58S_start_zero_long	+	426	471	52.2	0.00000000000004	3_End_Fungi_Ge_58S_end_fourteenb_long	+	538	582	42.9	0.000000000027	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	814	857	48.6	0.00000000000044	31	813	31	425	583	813	full	31	813
SRR21494940.985	1_SSU_Fungi_Tu_1_SSU_end_five_long	-	1	31	38.8	0.00000000052	2_5.8_Fungi_Ge_58S_start_onee_long	-	424	468	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	-	538	582	55.6	0.000000000000003	4_LSU_Fungi_Ge_4_LSU_start_eight_long	-	810	854	60	0.00000000000000013	32	809	32	423	583	809	full	32	809
SRR21494940.430	1_SSU_Fungi_Tu_1_SSU_end_five_long	-	1	31	38.8	0.00000000052	2_5.8_Fungi_Ge_58S_start_onee_long	-	430	474	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	-	542	585	49.5	0.00000000000025	4_LSU_Fungi_Ge_4_LSU_start_eight_long	-	810	853	54.5	0.0000000000000066	32	809	32	429	586	809	full	32	809
